title,text,label,type
[입덕직캠] 있지 유나 직캠 4K '달라달라(DALLA DALLA)' (ITZY YUNA FanCam) | @MCOUNTDOWN_2019.2.14,진짜 이목구비가 내 미래보다 뚜렷한듯 팬주접이 아니라 정말 느끼는거,1,4
한예슬의 일상 메이크업은? | Daily Makeup,언니 사실 혼혈이라면서요 천국과 한국,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],당신 혼혈이라면서 천국과 한국,1,4
(ENG) 🤦‍♀️ 어질어질한 밸런스 게임 | Love or Hate: Balance Game,언닌 탄산수나 스프라이트 콜라  넘 잘어울려요 언니가 청량 그자체에요 언니가 우리에게 행복을 주는 만큼 언니도 항상 행복하길 바래요,1,4
"저스틴비버님의 팬으로서, '야미'를 춰보았습니다. yummy dance choreo",언니 복근이 제 미래보다 선명해요,1,4
[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun,밤이 되었습니다곰신 되신분들은 고개를 들어주세요,1,4
우리집 준호,준호가 무슨 나라를 지켜 나라가 준호 지켜,1,4
[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun,하필 옷색깔도 빨강이라 완전 정관장이 따로 없음,1,4
[직캠] 백예린(Baek Yerin) - Square,영어가사라서 뜻 하나도 모르지만들으면 행복하다그래서 아기들은 엄마가 무슨 말 하는지 몰라도 웃는구나,1,4
우리집 준호,블루라이트차단 안경샀다밤새도록 달린다,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],누나 밤에 혼자 못자죠 칭찬과 소문이 자자해서,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,황찬섭 돌잡이 때 내 심장 잡았겠지   ,1,4
겟레디윗미 EDM 페스티벌! | Makeover For Music Festival,언니 얼굴에서 페스티벌이 일어나고 있는데 뭐하러 또 페스티벌 메이크업을 해 언니,1,4
Believer - Imagine Dragons (cover by jinsoulcoe)[4K],아르키메데스는 목욕탕에서 유레카를 외쳤고저는 부산 만덕동에서 최진솔을 외쳤습니다,1,4
5개국어 작업멘트로 꼬셔보기,저기 혹시 아버지가 도둑이신가요 왜요 그냥 그래보여서,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,황찬섭 선수 김원진 선수 경고 받을만 하내요수만은 여자들 마음에 이렇게 불을 질러놓고경고감입니다,1,4
The Beatles - Hey Jude (cover by 최진솔),파리가 손을 비비는 이유는 언니 음원 좀 내라고 비는 거야 이 노래 제발 음원 좀 줘요 언니,1,4
The Beatles - Hey Jude (cover by 최진솔),언니 팬들 다 언니가 스타인 줄 아는데 진짜 그렇다고 착각 안하셨으면 좋겠어요 언니는 별이 아니라 태양이니까,1,4
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),제국의아이들  후유증 다음중 부제로 알맞은것을 고르시오김동준 솔로콘서트,1,4
[BEAST] Good Luck @ popular song Inkigayo 140622,양요섭 라이브 지리네 진짜 흔들림 없는게 에이스 침대 모델해도될듯 ㅠ,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],언니 목소리는 티비엔이야 즐거움의 시작,1,4
The Beatles - Hey Jude (cover by 최진솔),언니 혹시 아프진 않으세요 아니 그냥 하늘에서 떨어지실 때 아프셨을까봐,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],언니 돌잡이 때 뭐 잡았더라 내심장,1,4
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,예쁜게 죄면 나는 뭐 세계적 영웅이냐,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,이상형이 곰돌이라고 한 여자분들 볼리베어 말고 이런곰돌이를 원한거죠,1,4
EXO_으르렁 (Growl by EXO@Mcountdown 2013.8.22),엑소는 의 진시황제임 이전에는 팬덤이 전국시대급으로 다양했는데으르렁 뜨고 전부 엑소로 통일됨,1,4
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,나은이는 돌잡이때 내 심장을 잡은게 분명해,1,4
"[Comeback Stage] 2PM - I'm your man, 투피엠 - 아임 유어 맨, Music Core 20140913",팬톤이 올해의 색을 클래식 블루라고 정했다는데 나는 올해의 남자를 클래식 블루 슈트를 입은 투피엠으로 정했다,1,4
겟레디윗미 EDM 페스티벌! | Makeover For Music Festival,언니저 오늘 언니 혼혈인거 처음 알았어요 한국과 천국,1,4
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,공룡들은 두 팔이 짧아 이나은 얼굴에 박수를 치지 못해서 멸종하였다,1,4
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,언니 노래 듣고 옷 다 찢어버려서 저 쌀포대입고다니잖아요,1,4
투피엠_핸즈업_댓글모음,당신들의 춤사위에 애덤 스미스도 보이지않는 손을 흔들고 갔습니다,1,4
[아스트로/차은우] 아스트로 차은우 입덕영상(feat. 우리 입덕하러 같이갈래?),은우오빠는 예쁜것만 보고자랐 맨날 자기 얼굴만 보고자랐나보네,1,4
[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun,약간 소문이 무성한 맛집이길래 실망 안하려고 뭐 별거 있겠어 하면서 들어왔는데 개존맛탱인 느낌 이 영상이 최고네,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,지금 물 들어오고 있으니까 노 조금만 더 저어주심 안될까요 댐은 저희가 알아서 방류하겠습니다,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],언니 돌잡이때 뭐 잡았어 내심장,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],너네 최진솔이 화나면 어떻게되는지 알고있냐 그때부터 신화가 시작된다,1,4
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,이 언니 이목구비가 내 미래보다 뚜렷해,1,4
2PM - My House (우리집) [Music Bank K-Chart / 2015.06.19],진짜 박진영 투피엠 이름 잘못지음 우리가 이런 노래를 오후시에 들을거라고 생각하다니 으슥한 새벽시에 허버허버 듣는다고,1,4
[IU TV] 100만 구독 달성 기념!! '이지금에게 물어봐',이지금이라서 골드버튼이 쉬운 건가 금,1,4
The Beatles - Hey Jude (cover by 최진솔),아니 이언니 그분이잖아 혼혈 언니잖아 딱봐도 모르겠어요 발음도 좋고 노래 잘부르는게천국하고 우리나라 혼혈이자너,1,4
우리집 준호,제스처표정얼굴몸 네박자가 이렇게 잘맞을수가있나 네박자라고는 송대관 이후로 첨이야,1,4
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,언니 이목구비가 내 미래보다 뚜렷해,1,4
GD&TOP_0130_SBS Inkigayo_집에 가지마(Don't Leave),지디가 집에 가지 말라하면 노숙자 쌉가능,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],하언니가 유모차야 날애태우니까,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,찬섭이 혼혈인거 아는 사람 천국과 한국,1,4
[입덕직캠] TXT 수빈 직캠 4K '9와 4분의 3 승강장에서 너를 기다려 (Run Away)' (TXT SOOBIN FanCam) | @MCOUNTDOWN_2019.10.24,이목구비가 확실한건 아닌데 누나마음은 확실하다 수빈아,1,4
크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오,당신을 음계로 표현하면 레야 도를 지나치고 미치기 직전이니까 ,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],하 더이상은 못들어주겠네 다른 노래를,1,4
크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오,형 가나초콜릿이랑 허쉬초콜릿 망했대형이 너무 달콤해서,1,4
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,언니  혼혈이라며  바로 한국과 천국 ,1,4
[입덕직캠] 있지 유나 직캠 4K '달라달라(DALLA DALLA)' (ITZY YUNA FanCam) | @MCOUNTDOWN_2019.2.14,내 인생보다 뚜렷한 이목구비,1,4
2PM - My House (우리집) [Music Bank K-Chart / 2015.06.19],이웃집엔 토토로 우리집엔 준호,1,4
크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오,오빠 나 오늘 우체국 가서 싸웠어 난 오빠한테 내 사랑을 전하고 싶은데 글쎄 그렇게 큰 박스는 없다는거야 참나,1,4
우리집 준호,파란셔츠 미쳤냐 인간아이봉 존나 개안,1,4
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,댓글이 청정지역이라서 가재도 살겠네,1,4
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,언니 노래듣고 박수치다가 모기잡았어요,1,4
[입덕직캠] 아스트로 차은우 직캠 4K 'All Night(전화해)' (ASTRO CHA EUNWOO FanCam) | @MCOUNTDOWN_2019.1.17,국가 차원으로 얼굴에 보험 좀 넣어주세요 진짜로얼굴에서 빛이난다 빛이,1,4
WINNER - ‘REALLY REALLY’ 0409 SBS Inkigayo,이때 김진우 미모 솔직히 대한민국 최강이었다,1,4
WINNER - ‘REALLY REALLY’ 0409 SBS Inkigayo,난 강승윤만 보면 심장 졸라 빨리 뛰어 얼굴도 되게 까칠하게 생겨서 음색도 진심 츤데레인데 남몰래 여주 좋아하는 남사친 같아 아,1,4
겟레디윗미 EDM 페스티벌! | Makeover For Music Festival,진짜 미쳤다 진짜 아름답다를 뛰어서 세상에 모든 예쁜단어 다해도 진짜 부족해아 진짜 존나 이쁜데 이걸 뭐라그러지 진짜 ㄹㅇ 존녜,1,4
내가 보고 싶어서 만든 2PM 고화질 고음질 무대 모음,암욜맨 검정 슈트는 정말 국보로 지정해야함 하 진짜 백발 찬성 다리길이 개 오지는 닉쿤 깐 머리 택연 민준 내린 흑발 준호 부엉이 머리 우영 그냥 진짜 대박임 ㅠㅠㅠㅠ,1,4
[STAR ZOOM IN] 'Vampire' Block B - Very Good ★Halloween Stage★ [M COUNTDOWN EP.355] 151022 EP.37,썸네일 보고 무릎꿇으면서 들어옴ㄷㄷ,1,4
내가 보고 싶어서 만든 2PM 고화질 고음질 무대 모음,준호집 찾다가 내 인생이 뭔가 단단히 잘 흘러가고 있다는걸 깨달았다,1,4
2PM - 우리집(My House) Mix (Live Compilation/무대교차편집),엄마 미안해 엄마딸 이 영상 보면서 흐흐흫흫ㅎㅎ이러고 있어 근데 어쩔수가 없었어 준호오빠가분 뒤에 보자고 하는데 어떻게 싫어해엄마 나 진짜 저 남자랑 지독하게 엮여야겠어,1,4
[직캠] 백예린(Baek Yerin) - Square,아무생각없이 대충쓴곡이라는데 천재가 아니면 불가능,1,4
슈퍼주니어_데빌_댓글모음,다들 이동해 얼굴 많이 알아줬으면 좋겠다 가만히 있어도 유잼인데,1,4
[IU] 'eight' Acoustic Ver. Live Clip,음원은 구름을 타고 하늘을 나는 느낌이라면 이 노래는 끝도 안 보이는 평원에서 서로를 베고 누워서 말 없이 석양을 바라보는 느낌이야,1,4
오마이걸(OH MY GIRL) - 다섯 번째 계절(SSFWL) # 교차편집(Stage mix) KPOP 무대영상 [1440P],유아 웃는 거 보고 심장 뿌셔짐,1,4
[입덕직캠] 아스트로 차은우 직캠 4K 'All Night(전화해)' (ASTRO CHA EUNWOO FanCam) | @MCOUNTDOWN_2019.1.17,저정도면 아프로디테의 환생인데 진짜 아이돌 뿐만 아니라 전세계연예인 전체로 봐도 다섯손가락 안에 들 얼굴아님 팬도 아니고 객관적인 느낌이 그럼,1,4
2PM - My House (우리집) [Music Bank K-Chart / 2015.06.19],이게 개레전드인게 준케이 마이크 싹 내리고 쉿하는게 싀방 유교걸의 심장에 기름을 끼얹고 라이터를 던지는 거라고요 미친 준케이 집으로 갈래ㅠ,1,4
은하라비_블라썸_댓글모음,혹시 펩시와 코카콜라의 사이를 표현한 깊이있는 행위예술이 아니었을까요,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,와 할아버지들 너무하다 이렇게 재밌는걸 자기들만 보고 계셨던거야 왜 씨름이 이렇게 재밌다는걸 젊은이들에게 말해주지 않은거야,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,청년들이 열심히 체력을 단련하여 스포오츠를 즐기는 모습을 보니 조국의 미래가 밝다는 생각이 들어 흐뭇합니다,1,4
투피엠_암욜맨_댓글모음,지금 내가 느낀 감정을 여과없이 작성하면 나는 사이버범죄로 교도소에 들어갈 거 같아요 여기서 참는 나 제법 젠틀해요,1,4
(ENG) 골든디스크 시상식 겟 레디 위드 미 | Golden Disc Awards Get Ready With Me,진짜 뱀파이어같다 너무 예뻐 저런 사람으로 살면 무슨 생각이 들까,1,4
EXO_으르렁 (Growl by EXO@Mcountdown 2013.8.22),누가 그랬는데 엑소가 세대 아이돌 문 대차게 열고 앞에 콘크리트 벽 세워뒀다고ㅋㅋㅋㅋㅋㅋㅋㅋㅋ년차에도 탑 자리 지키는 엑소 정말 대단함,1,4
내가 보고 싶어서 만든 2PM 고화질 고음질 무대 모음,남친이 군대가도 이렇게 전역을 기다리지않을 거 같다  빨리 돌아와,1,4
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,최진솔 노래 좋은 사람 손들어 했더니 지구가 성게모양이 돼버렸잖아여,1,4
2PM - My House (우리집) [Music Bank K-Chart / 2015.06.19],간주부분에 머리 돌리는 안무 만든사람 진짜 방에 가둬두고 몇 시간동안 칭찬해주고싶다 후,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],최진솔 좋아하지마그게 뭔데,1,4
EXO_으르렁 (Growl by EXO@Mcountdown 2013.8.22),으르렁 고등학교 세계서열 위 변백현 누나가 존나 사랑했다,1,4
겟레디윗미 EDM 페스티벌! | Makeover For Music Festival,탑배우는 진짜 다르구나 존엄하다 용안 내 꾸진 폰을 뚫고나오는 미모  다음생엔 조금이라도 닮고싶오,1,4
2PM - My House (우리집) [Music Bank K-Chart / 2015.06.19],그러니까 제가 요즘 이 노래를 들으면서 러닝을 뛴답니다 한걸음 한걸음 준호네집 택연이네집 우영이네집 저들의 집으로 간다는 맘으로 분 우습다 네시간도 갈수있어,1,4
빅스 (VIXX) - 도원경(桃源境) (Shangri-La) 교차편집,도원경은 이전에도 그리고 앞으로도 없을 컨셉충 한국인을 건들인 갓벽한 퍼포였다 타팬이지만 도원경만큼은 진짜 누가 생각한 건진 몰라도 진짜 하 말도 안나오네,1,4
강동원 깜짝 Live 풀버전 업로드(9:40초부터 재생하세요) [모노튜브], 요정같아 이세상사람이 아님 ㅠ,1,4
[입덕직캠] 있지 유나 직캠 4K '달라달라(DALLA DALLA)' (ITZY YUNA FanCam) | @MCOUNTDOWN_2019.2.14,아 진짜 짜증나게 예쁘네 아무리 예쁜사람을 봐도 화가 안나는데 너무 예뻐서 화가나는건 처음이다,1,4
2PM - 우리집(My House) Mix (Live Compilation/무대교차편집),이준호 탈영해라 국방부 좀 내보내 줘라 좀,1,4
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,신은 태초에 최진솔을 창조했다 신은 그의 노래를 혼자서만 듣는게 아쉽다고 생각하여 우주를 만들었다,1,4
[입덕직캠] 있지 유나 직캠 4K '달라달라(DALLA DALLA)' (ITZY YUNA FanCam) | @MCOUNTDOWN_2019.2.14,어머니 아버지가 어떻게 생기셨길래 이렇게 인어공주가 나온거지 인어공주 근황 궁금했는데 가수가 되어버렸네 ,1,4
유아(YooA) - 숲의 아이(Bon voyage) 교차편집(stage mix),뭔가 자연이 인간화 되면 이렇지 않을까봄여름가을겨울 계절이였다가꽃이였다 바람이였다 사슴이였다 계곡물 적셔지는 나뭇잎이였다 대지였다가 태양이였다가,1,4
[SUB] 저 이사했어요! 새 집 첫 브이로그. 서재 정리. 집김밥 만들어 먹기. (쿠키 영상 있음),어떻게 인간이 이렇게 예쁠 수가 있지충격적으로 예쁘네 진짜솔직히 말해 봐요 언니언니 사람인 척하는 바비인형이죠,1,4
"[입덕직캠] 오마이걸 아린 직캠 ‘다섯 번째 계절(SSFWL)’ (OH MY GIRL ARIN FanCam), MCOUNTDOWN_2019.5.9",사람이 저렇게 생기는 게 가능한가아니 사람이 아니라는건 아닌데 너무 완벽한 얼굴이라 실감이 안난다 무슨 요정나라에서 온 첫사랑느낌이야,1,4
데이식스(DAY6) - Sweet Chaos 교차편집 (Stage Mix),원필 얼굴만 광화문 전광판에 시간 띄워도 대한민국 발전한다,1,4
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,이 영상은 진짜 주기적으로 봐줘야됨 약간 충전소랄까 이나은 미모로 내 에너지가 충전되는 기분,1,4
[입덕직캠] 아스트로 차은우 직캠 4K 'All Night(전화해)' (ASTRO CHA EUNWOO FanCam) | @MCOUNTDOWN_2019.1.17,잘생겼다는 말은 사람한테 쓰는건데 아무리 봐도 차은우는 사람 안같아서 차은우 얼굴을 말로 표현 못하겠음,1,4
(ENG) 한예슬의 다이어트 팁 | My Diet Tips,세상에나 언니 배경 전혀 지루하지 않아요 들어오면 언니 얼굴만 보이는걸늘 짜릿해늘 새로워,1,4
[입덕직캠] TXT 수빈 직캠 4K '9와 4분의 3 승강장에서 너를 기다려 (Run Away)' (TXT SOOBIN FanCam) | @MCOUNTDOWN_2019.10.24,운동장에서 축구하고있으면 여자애덜이 파워에이드나 포카리스웨트 사서 대기하고있을것 같이 생겼다 ㅅㅂ 심장이 벌렁벌렁하네,1,4
[입덕직캠] 있지 유나 직캠 4K '달라달라(DALLA DALLA)' (ITZY YUNA FanCam) | @MCOUNTDOWN_2019.2.14,빨간머리의 역사는 둘로 나뉜다유나 데뷔 전과 데뷔 후,1,4
한예슬의 일상 메이크업은? | Daily Makeup,언니 영상 보다가 잇몸이 다 말랐네요,1,4
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,언니 나 한살이야 내 동년배들 모두 최진솔하고 외치면서 옹알이 뗀다,1,4
우리집 준호,요새 남돌 섹시  화장 개진함투피엠 섹시  노출 없어도 저 피지컬 표정 춤선에서 섹시가 줄줄 흘러내림,1,4
Believer - Imagine Dragons (cover by jinsoulcoe)[4K],이마쳐서 거북목 들어갓다는 댓글 어딧음 진짜 쌉레전드엿는데,1,4
[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun,아니 안무가 온갖 나른섹시한 동작은 다 넣어놓은 것 같애 그리고 그 안무를 잘 살리는 저 살랑거리는 춤선 아 이걸 왜 이제봤담,1,4
[직캠] 백예린(Baek Yerin) - Square,와 중간에 번쩍이는게 번개라니당연하게 해가 질랑말랑할때 노을이랑 같이 햇볕이 쨍하게 내리쬐는 건줄노래가 주는 힘이란,1,4
마법소녀 광희,키프로아이돌 철옹성같은 마인드 컨트롤기광중간중간 살짝 초점잃고 현타오는듯 하지만 그래도 프로 아이도루광희마법소녀,1,4
[직캠] 백예린(Baek Yerin) - Square,이 영상을 년 간 보면서 저게 비바람인 걸 지금 처음 알았음살랑살랑 부는 봄바람인 줄충격,1,4
[직캠] 백예린(Baek Yerin) - Square,진짜 스퀘어 시작 전 사람들의 북적 거리는 소리와 중간 중간 조금씩 나오는 말 소리조차 설정이라고 느낄 정도로 잘 어울려서 이 영상을 봐야 해 ,1,4
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,신기해헤어스타일도 애니메이션같은 그림체도 그렇고 노래실력 때문에도 그렇고이사람 그래픽같아,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,이런 미친 역시 돌쇠의 나라,1,4
[Rain & Tae Jin Ah] - LA SONG @ Popular song Inkigayo 140126,하드웨어 최상급소프트웨어 상급하지만 지뢰찾기만 하는꼴,1,4
우리집 준호,준호야내가 너말듣고 집 갖다판지 년째다 연락 좀 다오,1,4
투피엠_암욜맨_댓글모음,우리나라 진짜 선진국이었네,1,4
180930 아이유(IU) - 너랑 나 (You & I) [삼성카드홀가분마켓] 4K 직캠 by 비몽,언니 왜 살에 멈춰있어 아직 고등학생이라고 해도 믿겠어,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,저게 근육돼지지 난 여태 스팸돼지가 근육인줄 알고 살았던거야 저게 근육이지 어휴 너무좋다 행복하다,1,4
[IU] Rain-Drop & Heart(마음) Concert Live Clip (@2017 Tour ‘Palette’),서일콘 가서 저거 실황으로 들었는데 진짜 신기한게 저 당시 말할때는 이미 목이 다 쉬어서 쇳소리 엄청 났는데 노래만 하면 맑은 종소리 같은 목소리가 남 역시 아이유,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,고척돔에서 시간 정도만 경기 해주세요,1,4
크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오,진짜 섹시하다 목소리랑 노래가 너무 멋져서 진짜 정장같은걸 차려입은 줄 알았는데 번째 다시보니까 흰티야 진짜 당신 최고된다,1,4
강동원 깜짝 Live 풀버전 업로드(9:40초부터 재생하세요) [모노튜브],잘생겼다는 말을 안녕하세요보다 더 들었을 것 같다,1,4
데이식스(DAY6) - 한 페이지가 될 수 있게(Time of Our Life) 교차편집 (Stage Mix),이 노래 노래방에서 부르고 나면 입꼬리 올라가있음 멤버들이 웃는게 무대여서 웃는게 아니라 저 노래 부르면 진짜 미소가 지어짐 진심 사람을 웃게하는 무언가가 있는 노래,1,4
2PM - My House (우리집) [Music Bank K-Chart / 2015.06.19],우영준호   씨 집앞 에  분 뒤나와 있으래서 오늘 부로 집앞    놀이터 년개월  일  차야  내가 잘못 한게 있다면  알려줘 제  발 한번만 다시 기회를 줘,1,4
[입덕직캠] 아스트로 차은우 직캠 4K 'All Night(전화해)' (ASTRO CHA EUNWOO FanCam) | @MCOUNTDOWN_2019.1.17,진심 옷 존나 비싸보인다 한 억천할거같아 ㅅㅂ 미쳤나봐 진짜 어쩜좋아,1,4
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,이분의 한국의 아폴론이라구요,1,4
2PM - 우리집(My House) Mix (Live Compilation/무대교차편집),요즘 남돌들에게 짐승돌 수식어가 안붙는 이유는 단순히 옛날 단어라서가 아닌거 같다,1,4
[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun,집만 따라가겠나불구덩이도 따라들어갈듯,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,룰 방식 이런거 모르겠다 그냥 고맙다,1,4
2PM - My House (우리집) [Music Bank K-Chart / 2015.06.19],맴버 중에서 제일 곱상하게 생긴 닉쿤 갖다놔도 지금 남돌들 사이에 두면 수컷대장임ㄷㄷ,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,누가 이기는지는 아무도 관심 없음ㅋㅋㅋㅋㅋㅋㅋ,1,4
"TVXQ - Mirotic, 동방신기 - 주문, Music Core 20081025",개인적으로 동방신기의 이 노래가아이돌 역사상 가장 완벽한 무대라고 생각함인기 외모 가창력 안무 무대 장악력 기타 등비교대상 조차 없음,1,4
"2PM ""10 out of 10(10점 만점에 10점)"" Undisclosed Practicing Video Clip",왜 투피엠이 누나팬이 많았는지 누나가 되고서야 알아서 여기까지 왔네,1,4
슈퍼주니어 (Super Junior) Devil (데빌) 교차편집 (Stage Mix),김희철이랑 최시원 얼굴이 그냥 개미쳐서 그렇지 멤버 전체 비주얼이 그냥 다 비주얼 담당이야 뭐야,1,4
[100203] 2PM - Heartbeat @ Seoul Music Awards,저때 택연 한국나이 살 찬성 살 지금 대학교 학년 정도인데 그들이 저런 수위의 섹시함 낼 수 있을까 요새 아이돌들은  ,1,4
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,언니같은 사람이랑 노래방가면 지나가는 사람이 동전 대신 넣어줄꺼같아요,1,4
2PM - 우리집(My House) Mix (Live Compilation/무대교차편집),요즘남돌이 벌크업하면 삐쩍마른 근육인데 이 사람들은 어깨랑 옆통부터 다르잖아 찐이라고,1,4
The Beatles - Hey Jude (cover by 최진솔),언니 노래 이렇게밖에 불러서는 겨우 빌보드차트위하고 단콘열면 전좌석 티켓매진밖에 못한다니깐요,1,4
[온스테이지2.0]백예린 - 그건 아마 우리의 잘못은 아닐 거야,역시 백예린은 음원보다는 라이브의 감정 음색이 더 뛰어난 가수왜 스퀘어를 녹음할 수 없다고 말했는지 이해할 수 있다,1,4
우리집 준호,요즘은 저런 청년이 씨가 말랐어   ,1,4
